Data Type,NG Consumption for 4SRB engine
Engine Manufacturer,Superior
Engine Model,12G-825
Rated Power (HP),1200
Use,Equation for NG Consumption in relation to engine load
Input Units,Fractional Load on the engine 
Output Units,kJ/s (KW)
Description,"Using a polynomial equation for engine fuel consumption, the polynomial function is in the form f(x) = a1x + a0. X represents the fractinal load on the engine andd varies between 0 and 1"
%%%ENDOFMETADATA%%%
a1,a0
1881.5236666666674,844.0480000000002
